Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"J3","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",-66.040000,-142.240000,0.000000,bottom
"J4","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",-68.580000,-111.760000,-90.000000,bottom
"J5","Conn_01x12","PinHeader_1x12_P2.54mm_Vertical",-99.060000,-142.240000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",76.452609,-122.781267,-135.000000,top
"C2","1µF","C_0402_1005Metric",75.660649,-121.989307,-135.000000,top
"C3","15pF","C_0402_1005Metric",92.254000,-121.690999,0.000000,top
"C4","100nF","C_0402_1005Metric",90.845000,-134.327000,90.000000,top
"C5","10µF","C_0603_1608Metric",90.494846,-126.647475,45.000000,top
"C6","100nF","C_0402_1005Metric",89.225589,-125.795411,45.000000,top
"C7","15pF","C_0402_1005Metric",88.919142,-121.655967,180.000000,top
"C8","100nF","C_0402_1005Metric",82.173823,-132.057000,-45.000000,top
"C9","100nF","C_0402_1005Metric",77.074156,-120.608327,45.000000,top
"C10","100nF","C_0402_1005Metric",76.319672,-124.803592,-135.000000,top
"C11","1µF","C_0402_1005Metric",77.866115,-121.400287,45.000000,top
"C12","15pF","C_0402_1005Metric",92.247999,-116.593000,0.000000,top
"C13","100nF","C_0402_1005Metric",77.912000,-138.366000,135.000000,top
"C14","15pF","C_0402_1005Metric",88.179142,-116.315967,0.000000,top
"C15","10µF","C_0603_1608Metric",74.376500,-141.961000,180.000000,top
"C16","10µF","C_0603_1608Metric",72.743500,-136.569000,0.000000,top
"C17","10µF","C_0603_1608Metric",71.126500,-141.936000,180.000000,top
"J1","47346-0001","MOLEX_47346-0001",81.094000,-144.742000,0.000000,top
"J2","Conn_02x03_Odd_Even","PinSocket_2x03_P2.54mm_Vertical",88.339000,-134.172000,0.000000,top
"R1","10KΩ","R_0402_1005Metric",90.845000,-137.222000,-90.000000,top
"R2","10KΩ","R_0402_1005Metric",92.766000,-140.843000,0.000000,top
"R3","470Ω","R_0402_1005Metric",86.282142,-118.169968,-90.000000,top
"R4","2.2KΩ","R_0402_1005Metric",94.547000,-132.355000,90.000000,top
"R5","2.2KΩ","R_0402_1005Metric",96.250000,-120.500000,-45.000000,top
"S1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",94.327000,-136.320500,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",92.583000,-143.924000,0.000000,top
"U1","STM32G431CBU6","STM32G431CBU6",82.760000,-126.058000,-135.000000,top
"U2","USBLC6-2SC6","SOT-23-6",80.772000,-137.769600,90.000000,top
"U3","TPS73633DBV","SOT-23-5",73.289000,-139.192000,180.000000,top
"Y1","Crystal_Small","Crystal_SMD_3215-2Pin_3.2x1.5mm",91.768000,-119.113000,-90.000000,top
"Y2","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",88.549141,-118.985967,90.000000,top
